,loglikelihood,Non-Bias,Bias
girl,-0.9234762839024362,208,82
annoy,1.7360265776985448e-05,1,1
management,-1.5147553256272452,140,30
yea,0.5108429840317675,2,4
lunch,-1.3652235916562812,93,23
j,0.57056221873339,25,45
hope,-1.3121690287003918,441,118
leader,-0.9282495626550938,419,165
kick,-1.549316628098618,112,23
fake,0.875486097619677,19,47
team,-1.1263194764171878,255,82
easy,-0.8312801587749856,61,26
road,-1.0296020569153814,69,24
christian,-0.5705274982018359,45,25
cooky,-0.28766471218600403,3,2
lot,-0.9532619409777187,178,68
apologetic,0.6931645408257223,0,1
army,-1.0985949284023329,119,39
choke,0.5108429840317675,2,4
dick,1.0986296489338867,4,14
kris,-0.9162733716083782,4,1
mom,-1.302507117788655,102,27
presidency,1.8718195371673683,1,12
supporter,-0.3654424132286884,48,33
problem,-0.3477394302217407,302,213
person,-0.7226886225357128,102,49
pack,-1.5040600365104972,26,5
bag,-0.9554940847616595,25,9
narcissistic,2.079458901945613,0,7
lunatic,0.6931645408257223,0,1
apc,1.3863117213856675,0,3
infant,-1.5040600365104972,17,3
g,-0.5014624010819762,70,42
thought,-0.7711981936639872,252,116
alarm,-1.6094205521683234,9,1
system,-0.6659788312282178,217,111
oh,0.675772798113853,28,56
place,-0.9382522783271534,252,98
terrible,-0.8872858347351259,33,13
washington,-0.8730446370575582,497,207
district,-1.9827973457249872,551,75
columbia,0.4054824683739413,1,2
nj,-2.4848892895222234,47,3
someone,-0.26729740936157026,80,61
shit,2.155998979067947,10,94
know,-0.4938587051864404,389,237
hoe,1.2237927918878926,4,16
isi,0.57056221873339,51,91
ruin,0.6931645408257223,2,5
reputation,1.0116182719442568,3,10
world,-0.8144906772984358,559,247
improvement,-1.662530377482272,57,10
c,-0.025625070347560792,78,76
ki,1.6094552726998774,1,9
test,-2.4117670246932605,144,12
requirement,-1.77883870412637,76,12
member,-0.9430949028029414,528,205
congress,-0.10270810775404438,757,683
jackson,-0.6285912991565974,29,15
lee,-1.2527456082295911,34,9
flunk,0.6931645408257223,0,1
sleep,-1.3083154593844017,36,9
thing,-0.21803712154096153,244,196
experience,-1.2822076409599072,154,42
teacher,-2.310230605473838,130,12
mark,-1.128447891552014,169,54
seat,-0.4699862689799586,15,9
bell,-2.1972072170704426,26,2
ring,-0.3364548763554359,13,9
harden,1.7360265776985448e-05,1,1
miss,-0.9162733716083782,204,81
character,-0.7949125146041107,30,13
disposition,0.6931645408257223,0,1
action,0.11862310267362393,269,303
power,-0.5852408582829834,157,87
off,-0.7901756094436393,345,156
leadership,-0.1649124538163085,170,144
idea,-0.13003576798242075,81,71
attitude,2.197241937601996,1,17
horrible,0.9555288052932133,9,25
feminist,0.328521427237813,17,24
o,0.39430916777581615,59,88
isn,0.8023638327907141,25,57
stab,0.6931645408257223,1,3
death,-0.8697533559734854,209,87
act,-0.18157186401650247,818,682
amount,-1.0296020569153812,55,19
aggressive,-1.203955444060159,9,2
contact,-1.0372259820260405,78,27
guy,0.35669230420450926,69,99
boo,0.916308092139932,1,4
w,-0.7350940193932005,510,244
patience,0.6931645408257223,1,3
tolerance,0.875486097619677,4,11
vote,-0.18151399498567686,758,632
override,0.5108429840317675,2,4
presidential,-0.7471970415644441,37,17
veto,2.5902845257116036,2,39
accord,-0.5402221487065071,114,66
pas,0.2386432757283635,140,178
law,0.5213895822688889,414,698
bomb,1.1786723566074229,7,25
player,-0.17183289666088233,18,15
south,-1.791742108962278,191,31
africa,-2.061405675911381,109,13
lift,-1.0985949284023326,35,11
ban,-0.3942744472442623,88,59
rhino,0.6931645408257223,1,3
horn,0.2876994327175578,2,3
sale,-1.122986381526492,165,53
outrageous,0.16432041155705318,27,32
communication,-0.20065333519637424,43,35
skill,-1.0691810431960393,66,22
homo,0.6931645408257223,0,1
cheat,0.8473152206529805,2,6
nice,-1.1349625725732078,83,26
big,-0.7166603177043626,343,167
bird,-1.9740636657562327,35,4
business,-0.7724030011886762,865,399
ask,-0.6890894107571635,246,123
l,-0.4872777660900196,69,42
security,-0.925323207128296,332,131
council,-0.9034252291305291,115,46
idiotic,2.302602453259823,0,9
nuclear,-0.45545816841704884,40,25
code,-0.5435980863232045,61,35
text,-0.4462697423626427,24,15
spectacle,1.0986296489338867,0,2
r,0.7151434475444977,89,183
elect,-0.587769304636342,53,29
president,0.16684974001727107,693,819
supervisor,-0.4054477478423875,2,1
group,-0.5168052829725881,222,132
game,-1.231168007585044,297,86
teach,-1.3062342931805773,47,12
cause,0.17286017310518775,105,125
reason,-0.14761863854028778,101,87
report,-1.2280529956392197,559,163
europe,-1.575519000492642,57,11
policy,-0.14240297977599173,225,195
iraq,-0.7161193385188672,87,42
libya,-2.1972072170704426,35,3
loon,0.6931645408257223,0,1
tar,-0.6931298202941684,1,0
feather,1.0986296489338867,0,2
wrong,0.7091648821721633,30,62
beat,-1.1557533422422814,107,33
q,-0.8831734231820333,103,42
rain,0.998546190376904,34,94
nonstop,-0.4054477478423875,2,1
ark,1.0986296489338867,0,2
boat,-2.3978779125325937,32,2
face,-0.5030862174063035,257,155
fall,-1.8569453027730403,300,46
word,-0.42897824525258177,171,111
stay,-0.6329109603011137,144,76
smoke,0.1431182039064503,12,14
da,1.4663544290592039,2,12
mo,-0.22312619104843281,9,7
trench,0.6931645408257223,0,1
h,0.5705622187333899,38,68
mf,2.4849240100537773,0,11
te,-0.28766471218600403,7,5
twitter,-0.8456558043944249,204,87
tweet,-0.2411446965511111,83,65
complex,-0.2112917334014301,20,16
send,-1.0060021415745077,133,48
troop,-1.1155444867161062,118,38
harm,0.04547973434253414,42,44
way,-0.5283218459929222,479,282
nobody,0.9985461903769041,6,18
photo,-2.705808145814322,448,29
nb,0.916308092139932,1,4
couch,-0.9162733716083782,9,3
fold,1.7360265776985448e-05,1,1
ia,0.4054824683739413,1,2
eat,-0.49245912483201726,35,21
banana,1.7360265776985448e-05,3,3
drug,-0.30964361890477915,183,134
mind,-0.624136948807217,83,44
village,-1.0678232697355792,31,10
raise,-0.46214309151893274,253,159
child,-0.640413038121764,350,184
slogan,1.3863117213856675,0,3
boot,1.7360265776985448e-05,6,6
n,0.4855251760474778,71,116
boy,-1.3862770008541137,143,35
lesbian,0.4054824683739413,1,2
z,-0.4336186248090839,53,34
ne,-1.0985949284023326,8,2
nothing,1.3111910909175593,37,140
heartache,0.6931645408257223,0,1
headache,-1.3862770008541137,7,1
hat,-0.8872858347351259,16,6
mock,-1.5040600365104972,17,3
daniel,-2.4848892895222234,35,2
bryan,-2.079424181414059,31,3
life,-0.9873692932921084,611,227
men,-1.119429015305175,290,94
contract,-0.9903813437621,34,12
match,0.8043901759359465,33,75
bleacher,1.7360265776985448e-05,1,1
fatuous,1.0986296489338867,0,2
issue,-0.9453052042890396,663,257
cost,0.2497801978552641,214,275
zero,-0.08336424867327412,24,22
dollar,-0.6250763570491529,141,75
az,-1.2431761572134403,51,14
loathe,1.0986296489338867,0,2
office,-1.3775758894013777,800,201
end,-0.6724631834856093,430,219
brit,1.3863117213856675,0,3
war,-0.5380922224486823,321,187
spain,-0.35665758367295547,9,6
